candidate_budget,sender,receiver,sender_layer,receiver_layer,oracle_mass,gold_topk_recall,oracle_attn_l1,oracle_output_mse,oracle_output_cosine
32,qwen_receiver,llama32_1b,12,12,1.0,1.0,4.088613773471176e-08,2.400358803039182e-17,1.0
32,qwen_receiver,llama32_1b,15,15,1.0,1.0,3.553267902134394e-08,7.783932794431534e-17,1.0
32,llama32_1b,qwen_sender,0,0,1.0,1.0,2.3941230035499455e-08,1.5359573238816092e-17,1.0
32,llama32_1b,qwen_sender,4,4,1.0,1.0,2.1390815637308453e-08,1.095978070092857e-16,1.0
32,llama32_1b,qwen_sender,8,8,1.0,1.0,2.7450636134555378e-08,8.497325259604945e-15,1.0
32,llama32_1b,qwen_sender,12,12,1.0,1.0,3.074544944562755e-08,4.5944724984895345e-14,1.0
32,llama32_1b,qwen_sender,15,15,1.0,1.0,3.821579497298444e-08,5.843739877758041e-15,1.0
32,llama32_1b,qwen_receiver,0,0,1.0,1.0,2.2751776758885473e-08,1.699917811324794e-17,1.0
32,llama32_1b,qwen_receiver,4,4,1.0,1.0,2.3402511336219806e-08,2.2000535986962678e-16,1.0
32,llama32_1b,qwen_receiver,8,8,1.0,1.0,2.745104114391476e-08,8.844693188929617e-15,1.0
32,llama32_1b,qwen_receiver,12,12,1.0,1.0,2.9773995417296344e-08,8.0271289696612e-14,1.0
32,llama32_1b,qwen_receiver,15,15,1.0,1.0,2.4836706913333728e-08,1.7333387465146358e-14,1.0
64,qwen_sender,qwen_receiver,0,0,1.0,1.0,2.2751776758885473e-08,1.699917811324794e-17,1.0
64,qwen_sender,qwen_receiver,4,4,1.0,1.0,2.3402511336219806e-08,2.2000535986962678e-16,1.0
64,qwen_sender,qwen_receiver,8,8,1.0,1.0,2.745104114391476e-08,8.844693188929617e-15,1.0
64,qwen_sender,qwen_receiver,12,12,1.0,1.0,2.9773995417296344e-08,8.0271289696612e-14,1.0
64,qwen_sender,qwen_receiver,15,15,1.0,1.0,2.4836706913333728e-08,1.7333387465146358e-14,1.0
64,qwen_sender,llama32_1b,0,0,1.0,1.0,4.2075022577137133e-08,2.443433351111894e-18,1.0
64,qwen_sender,llama32_1b,4,4,1.0,1.0,3.8899652092065175e-08,1.9380658669475194e-17,1.0
64,qwen_sender,llama32_1b,8,8,1.0,1.0,3.8247699526057964e-08,4.223014335399084e-17,1.0
64,qwen_sender,llama32_1b,12,12,1.0,1.0,4.088613773471176e-08,2.400358803039182e-17,1.0
64,qwen_sender,llama32_1b,15,15,1.0,1.0,3.553267902134394e-08,7.783932794431534e-17,1.0
64,qwen_receiver,qwen_sender,0,0,1.0,1.0,2.3941230035499455e-08,1.5359573238816092e-17,1.0
64,qwen_receiver,qwen_sender,4,4,1.0,1.0,2.1390815637308453e-08,1.095978070092857e-16,1.0
64,qwen_receiver,qwen_sender,8,8,1.0,1.0,2.7450636134555378e-08,8.497325259604945e-15,1.0
64,qwen_receiver,qwen_sender,12,12,1.0,1.0,3.074544944562755e-08,4.5944724984895345e-14,1.0
64,qwen_receiver,qwen_sender,15,15,1.0,1.0,3.821579497298444e-08,5.843739877758041e-15,1.0
64,qwen_receiver,llama32_1b,0,0,1.0,1.0,4.2075022577137133e-08,2.443433351111894e-18,1.0
64,qwen_receiver,llama32_1b,4,4,1.0,1.0,3.8899652092065175e-08,1.9380658669475194e-17,1.0
64,qwen_receiver,llama32_1b,8,8,1.0,1.0,3.8247699526057964e-08,4.223014335399084e-17,1.0
64,qwen_receiver,llama32_1b,12,12,1.0,1.0,4.088613773471176e-08,2.400358803039182e-17,1.0
64,qwen_receiver,llama32_1b,15,15,1.0,1.0,3.553267902134394e-08,7.783932794431534e-17,1.0
64,llama32_1b,qwen_sender,0,0,1.0,1.0,2.3941230035499455e-08,1.5359573238816092e-17,1.0
64,llama32_1b,qwen_sender,4,4,1.0,1.0,2.1390815637308453e-08,1.095978070092857e-16,1.0
64,llama32_1b,qwen_sender,8,8,1.0,1.0,2.7450636134555378e-08,8.497325259604945e-15,1.0
64,llama32_1b,qwen_sender,12,12,1.0,1.0,3.074544944562755e-08,4.5944724984895345e-14,1.0
64,llama32_1b,qwen_sender,15,15,1.0,1.0,3.821579497298444e-08,5.843739877758041e-15,1.0
64,llama32_1b,qwen_receiver,0,0,1.0,1.0,2.2751776758885473e-08,1.699917811324794e-17,1.0
